nct_id,title,status,phase,condition,enrollment,start_date,completion_date
NCT00837720,Evaluation of Atacand® (Candesartan) in Daily Medical Practice,COMPLETED,,Hypertension,750.0,2006-03,2007-06
NCT07751848,A Study of Outcomes in Chinese Patients Treated With Anifrolumab Who Have Active Mod-severe Systemic Lupus Erythematosus,NOT_YET_RECRUITING,PHASE3,"Lupus Erythematosus, Systemic",417.0,2026-09-04,2028-08-25
NCT06297668,"A Study to Assess the Pharmacokinetics and Safety of Budesonide, Glycopyrronium, & Formoterol (BGF) Metered Dose Inhaler (MDI) With a Next-Generation Propellant (NGP) With a Spacer, BGF MDI Hydrofluoroalkane (HFA) With a Spacer, as Well as BGF MDI NGP Without a Spacer",COMPLETED,PHASE1,Chronic Obstructive Pulmonary Disease,42.0,2024-04-29,2024-06-11
NCT01365091,Bioequivalence Study of Fixed-dose Combinations and Coadministered Individual Tablets of Saxagliptin/Metformin-Brazil,COMPLETED,PHASE1,Type 2 Diabetes Mellitus,112.0,2011-06,2011-11
NCT01663974,Evaluation of Sub-syndromal Symptoms After Acute Depressive Episode in Bipolar Disorder,TERMINATED,,"Bipolar Disorder, Sub-syndromal Symptoms",125.0,2013-04,2013-12
NCT03971110,A Study of Neoadjuvant Hormone Therapy in Patient With Advanced Prostate Cancer Undergoing Radical Prostatectomy.,TERMINATED,PHASE4,Advanced Prostate Cancer,9.0,2021-01-28,2022-11-09
NCT00933010,Metabolic Syndrome Observation on a Regional Basis,COMPLETED,,Metabolic Syndrome,1600.0,2009-10,2010-10
NCT06327815,"Efficacy of FDC Regimen of Dapagliflozin/Metformin Compared to Co-administered Dual Therapy on Glycemic Control, Satisfaction and Adherence in Chinese Patients With T2DM",COMPLETED,PHASE4,Type 2 Diabetes Mellitus (T2DM),633.0,2024-03-15,2025-06-30
NCT00278915,Faslodex in McCune-Albright Syndrome,COMPLETED,PHASE2,"Puberty, Precocious, McCune-Albright Syndrome",30.0,2006-01-31,2023-07-20
NCT03377738,Effectiveness of the Spirometry Test as a Motivational Tool for Quitting Tobacco in Primary Care,COMPLETED,NA,Tobacco Cessation,90.0,2011-05,2011-12
NCT00912535,Quetiapine Augmentation for Primary Anxiety Disorder or Mood Disorders With Co-morbid Anxiety Symptoms,COMPLETED,PHASE4,"Primary Anxiety Disorders, Mood Disorders With Comorbid Anxiety Symptoms",39.0,2009-05,2010-07
NCT07361276,Observational Study That Will Evaluate Treatment Patterns in the Management of Hypertension in the Public Primary Care System,RECRUITING,,Hypertension,15000.0,2026-03-31,2026-09-30
NCT07177417,Characterizing the Human Airway Immune Response to FluMist Vaccination,RECRUITING,PHASE4,"Healthy Young Adults, Influenza Vaccines, Influenza Vaccine Response",30.0,2025-09-09,2028-11
NCT05961397,Phase 1 PK Study to Evaluate the PK of CIN-107 in Subjects With Hepatic Impairment,COMPLETED,PHASE1,Hypertension,20.0,2021-08-10,2022-04-15
NCT03965468,"Immunotherapy, Chemotherapy, Radiotherapy and Surgery for Synchronous Oligo-metastatic NSCLC",ACTIVE_NOT_RECRUITING,PHASE2,"Non-small Cell Lung Cancer, Stage IV, Oligometastasis",96.0,2019-11-19,2026-12
NCT00214591,GALLANT 5 Tesaglitazar Versus Metformin,TERMINATED,PHASE3,"Diabetes Mellitus, Type 2",580.0,2004-08,2006-12
NCT01767974,Comparison of Sequencing and PNA Clamping of EGFR Gene in Patients With Non-Small Cell Type Lung Cancer,UNKNOWN,,Non-Small Cell Lung Cancer,140.0,2013-01,2015-06
NCT07013643,"A Study to Investigate the Effect of AZD6234, AZD9550, and a Combination of AZD9550 and AZD6234 on Pharmacokinetics of Combined Oral Contraceptive Ethinyl Estradiol/Levonorgestrel in Healthy Female Participants Living With Overweight or Obesity",RECRUITING,PHASE1,Healthy Participants,50.0,2025-06-04,2027-07-09
NCT04232345,A Study to Assess the Effect AZD4831 in Japanese and Chinese Healthy Volunteers,COMPLETED,PHASE1,Heart Failure With Preserved Ejection Fraction (HFpEF),32.0,2020-01-16,2021-03-11
NCT06607601,CARE Initiative: Real-world Emulation of the PALOMA-2 Trial,COMPLETED,,Metastatic Breast Cancer,724.0,2010-02-01,2023-07-20
NCT01305551,BE Study of the Fixed Dose Combination of 5 mg Saxagliptin and 500 mg Metformin HCl XR Tablet Relative to a 5 mg Saxagliptin (Onglyza™) Tablet and a 500 mg Metformin HCl XR (Glifage® XR Marketed in Brazil by Merck S.A.) Tablet Co-Administered to Healthy Subjects in the Fasted and Fed States,WITHDRAWN,PHASE1,Type 2 Diabetes,0.0,2011-03,2011-03
NCT00524251,The Effect of Lifestyle-Adjustments Prior to Medical Treatment on the Effect of Medical Treatment in Reflux Patients,COMPLETED,,"GERD, Quality of Life",990.0,2004-06,2008-03
NCT04222465,Characterizing the Cross-sectional Approach to Investigate the Prevalence of Tissue BRCA1/2 Mutations in Newly Diagnosed Advanced Ovarian Cancer Patients,COMPLETED,,Ovarian Neoplasms,207.0,2020-03-19,2020-11-13
NCT04182802,MRI and Lung Function Measures of Benralizumab Response in Asthma,WITHDRAWN,,Asthma,0.0,2020-02-13,2022-07-01
NCT02756039,Tagrisso Tablets Clinical Experience Investigation (All Case Investigation),COMPLETED,,All Patients Treated With the Product,3494.0,2016-05-25,2018-08-31
NCT00214630,LUNAR IIIb Study Comparing Rosuvastatin and Atorvastatin in Subjects With Acute Coronary Syndromes,COMPLETED,PHASE3,Acute Coronary Syndromes,825.0,2003-12,2007-08
NCT01394601,A Study to Observe Real-life Allocation of Antipsychotics in Acute Inpatient Management of Schizophrenia,COMPLETED,,Schizophrenia,600.0,2011-08,2011-12
NCT05217381,Real-World Data of Clinicopathological Characteristics and Management of Breast Cancer Patients According to HER2 Status,COMPLETED,,"Early Breast Cancer, Metastatic Breast Cancer, Locally Advanced Breast Cancer",18533.0,2022-02-22,2023-09-20
NCT05112419,A Study to Assess Zibotentan Pharmacokinetics in Participants With Moderate Hepatic and Moderate Renal Impairment,COMPLETED,PHASE1,"Hepatic Impairment, Renal Impairment",12.0,2021-11-10,2021-12-15
NCT01336205,Assessment of Long-term Safety in Patients With Non-cancer-related Pain and Opioid-induced Constipation,COMPLETED,PHASE3,Opioid-Induced Constipation (OIC),844.0,2011-04,2012-12
NCT07783737,China Glomerulonephritis Kidney Transplant Recipient Cohort: A Prospective Multicenter Observational Study,NOT_YET_RECRUITING,,Glomerulonephritis Kidney Transplant,300.0,2026-09-24,2030-07-31
NCT02175875,Ticagrelor for the Comatose,COMPLETED,,Comatose,47.0,2014-09,2015-10
NCT06252753,Observational Study Protocol: LIVER-R,RECRUITING,,Hepatobiliary Cancers,4000.0,2023-12-20,2030-12-30
NCT05374512,"A Study of Dato-DXd Versus Investigator's Choice Chemotherapy in Patients With Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer, Who Are Not Candidates for PD-1/PD-L1 Inhibitor Therapy (TROPION-Breast02)",ACTIVE_NOT_RECRUITING,PHASE3,Breast Cancer,644.0,2022-05-16,2026-12-31
NCT00915356,Intravenous Cardioversion of Atrial Fibrillation (AF) With AZD1305,COMPLETED,PHASE2,Atrial Fibrillation,228.0,2009-05,2009-12
NCT06469151,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of AZD5148 in Healthy Adults",COMPLETED,PHASE1,Healthy Participants,84.0,2024-06-24,2025-10-22
NCT03471572,"Study to Assess Prevalence of BRCA1 and BRCA2 Mutation Among Ovarian, Primary Peritoneal and Fallopian Tube Cancer Patients in India",COMPLETED,,Ovarian Cancer,240.0,2018-03-22,2018-12-21
NCT01144481,Risk Factors for Skeletal Related Events in Breast Cancer Patients Receiving Bisphosphonates for Bone Metastases,COMPLETED,,"Bone Metastases, Breast Cancer",60.0,2009-02,2013-04
NCT06419413,"A Translational Study to Describe Clinical Characteristics, Biomarkers and to Identify Phenotypes and Endotypes Associated With Differential Outcomes in Chinese Population",RECRUITING,,Asthma,355.0,2024-01-08,2026-10-08
NCT05572476,Lurbinectedin Combined With Durvalumab in Pre-treated Patients With Extensive Stage Small-cell Lung Cancer,WITHDRAWN,PHASE2,"Small Cell Lung Cancer, Platinum-Sensitive Lung Small Cell Carcinoma, Extensive-stage Small-cell Lung Cancer",0.0,2023-10,2024-05-31
NCT01071135,Quetiapine XR in Schizophrenic Patients,TERMINATED,PHASE3,Schizophrenia,5.0,2009-09,2010-08
NCT05222750,Epidemiology of Thrombotic Thrombocytopenia Syndrome in Integrated Health-care Database in England,COMPLETED,,COVID-19,41200246.0,2022-03-01,2023-05-25
NCT00644735,"Multicenter, Randomized, Double-Blind, Double-Dummy, Parallel-Group Comparison of the Remission Rates of Once Daily Treatment With Esomeprazole 20mg and Lansoprazole 15mg for 6 Months in Patients Whose EE Has Been Healed",COMPLETED,PHASE4,Erosive Esophagitis,750.0,2002-12,2004-01
NCT04924608,"Efficacy and Safety of Selumetinib in Adults With NF1 Who Have Symptomatic, Inoperable Plexiform Neurofibromas",ACTIVE_NOT_RECRUITING,PHASE3,"Neurofibromatosis 1, Plexiform Neurofibroma (PN)",145.0,2021-11-19,2029-02-15
NCT05737940,A Study of AZD3427 in Participants With Heart Failure and Pulmonary Hypertension Group 2,COMPLETED,PHASE2,"Pulmonary Hypertension (World Health Organization Group 2), Heart Failure",260.0,2023-04-24,2025-08-25
NCT03490760,"Durvalumab and ""Booster"" Radiation in Metastatic Adenocarcinoma of the Pancreas",TERMINATED,PHASE2,Adenocarcinoma of the Pancreas,9.0,2018-11-09,2020-07-09
NCT02039180,Relative Bioavailability Study to Assess Two Solid Formulations Compared to an Oral Solution of AZD3293 in Healthy Male and Non-Fertile Female Subjects,COMPLETED,PHASE1,"Healthy Volunteers, Pharmacologic Action",1.0,2014-02,2014-03
NCT01473758,Effect of Roflumilast at Acute Exacerbations of Chronic Obstructive Pulmonary Disease,TERMINATED,PHASE2,Chronic Obstructive Pulmonary Disease With (Acute) Exacerbation,81.0,2012-02,2014-03
NCT00208143,Seroquel Therapy for Substance Use Disorders Comorbid With Schizophrenia,COMPLETED,PHASE4,"Schizophrenia, Schizoaffective Disorder, Substance Abuse, Substance Dependence",20.0,2003-11,2005-12
NCT01431690,Interaction of Epanova on Warfarin Pharmacokinetic and Anticoagulant Activity and Comparison of the Effects of Epanova and Lovaza on Eicosapentaenoic Acid (EPA) and Docosahexaenoic Acid (DHA) After Low-fat Meals,COMPLETED,PHASE1,Hypertriglyceridemia,52.0,2011-08,2011-10
NCT06812780,"A Study to Investigate the Effect of Hepatic Impairment on the Pharmacokinetics, Safety, and Tolerability of AZD2389",COMPLETED,PHASE1,Hepatic Impairment,35.0,2025-02-04,2025-09-04
NCT02096679,Study Evaluating the Pharmacokinetic and Mass Balance of Single Dose [14C] AZD9291 in Volunteers,COMPLETED,PHASE1,Healthy Volunteers,8.0,2014-05,2014-08
NCT01588548,Global Phase1 Study to Assess the Safety and Tolerability of AZD1208 in Advanced Solid Tumors and Malignant Lymphoma,COMPLETED,PHASE1,"Advanced Solid Malignancies, Malignant Lymphoma",43.0,2012-07,2014-07
